skill;course_name;link;platform
compliance;Regulatory Compliance Specialization;https://www.coursera.org/specializations/regulatory-compliance;Coursera
opencv;Introduction to Computer Vision with Watson and OpenCV;https://www.coursera.org/learn/introduction-computer-vision-watson-opencv;Coursera
image processing;Image Processing with Python;https://www.udemy.com/course/complete-python-based-image-processing-and-computer-vision;Coursera
node.js;Introduction to Node.js for Beginners;https://www.udemy.com/introduction-to-nodejs-for-beginners/;Udemy
react;Introduction to Front-end Development with ReactJS;https://www.udemy.com/course/react-the-complete-guide-incl-redux;Coursera
vue;VueJS V1 Introduction to VueJS JavaScript Framework;https://www.udemy.com/vuejs-introduction-to-vuejs-javascript-framework/;Udemy
angular;Angular 2 & TypeScript Beginner Web Development;https://www.udemy.com/angular2/;Udemy
stored procedures;Stored Procedures Unpacked - Code in TSQL;https://www.udemy.com/course/stored-procedures-unpacked-learn-to-code-t-sql-stored-procs/?couponCode=CM251217G2;Udemy
ui5;Developing SAP UI5 apps using Fiori Elements (WebIDE & SBAS);https://www.udemy.com/course/sap-ui5-apps-using-fiori-elements/;Udemy
jetpack;Maintain Android Apps with Jetpack Architecture Components;https://www.udemy.com/course/maintain-android-apps-with-jetpack-architecture-components/;Udemy
ticketing;Airline Airfares & Ticketing Management;https://www.udemy.com/course/airline-airfares-ticketing-management/;Udemy
active directory;Active Directory and Windows Server 60+ Hour with Labs;https://www.udemy.com/course/complete-active-directory-9-hours-bootcamp/?couponCode=CM251217G2;Udemy
teamcenter;Teamcenter Application Administration;https://www.udemy.com/course/teamcenter-application-administration/;Udemy
power automate;Power Automate: Building and Managing Automated Workflows;https://www.coursera.org/learn/power-automate-building-and-managing-automated-workflows;Coursera
sap modules;SAP Business Analyst Professional Certificate;https://www.coursera.org/professional-certificates/sap-business-analyst;Coursera
android sdk;Introduction to Android Mobile Application Development;https://www.coursera.org/learn/introduction-to-android-mobile-application-development;Coursera
swiftui;Mastering iOS Development: Swift, SwiftUI, and Beyond;https://www.coursera.org/learn/mastering-ios-development-swift-swiftui-and-beyond;Coursera
winforms;Introduction to WinForms;https://www.udemy.com/course/introduction-to-winforms/;Udemy
abap;Learn SAP ABAP Fundamentals and Core Programming Concepts;https://www.coursera.org/learn/abap-fundamentals-and-core-programming;Coursera
cloud ai tools;Certified Cloud AI Solutions Architect (CCASA) Crash Course;https://www.udemy.com/course/certified-cloud-ai-solutions-architect-ccasa-aimloverview/?couponCode=CM251217G2;Udemy
wpf;The Ultimate Windows Presentation Foundation (WPF) Course;https://www.udemy.com/course/ultimate-windows-presentation-foundation-course/?couponCode=CM251217G2;Udemy
